Fold,Accuracy,Precision_macro,Recall_macro,F1_macro,Balanced_accuracy,MCC,Cohen_Kappa,ROC_AUC_macro,Log_Loss,Features_FFT,Features_apos_correlacao,Features_Fisher,Tempo_s
1,0.8428571428571429,0.8319727891156462,0.8428571428571427,0.8350966107063668,0.8428571428571427,0.8176894180588729,0.8166666666666667,0.9776785714285714,0.28549141681653717,1281,948,14,0.16380710003431886
2,0.8357142857142857,0.8254707680173519,0.8357142857142857,0.8211087562531026,0.8357142857142857,0.813041309937484,0.8083333333333333,0.9780952380952381,0.2812066089966054,1281,955,14,0.15618950000498444
3,0.85,0.8465807375581812,0.85,0.8481640310908604,0.85,0.8250491115278584,0.8250000000000001,0.9777380952380952,0.2697394804624619,1281,948,14,0.18546810001134872
4,0.8428571428571429,0.8309523809523809,0.8428571428571427,0.8341269841269842,0.8428571428571427,0.8178846638634842,0.8166666666666667,0.9757142857142858,0.28946304910755344,1281,954,14,0.15632409998215735
5,0.8142857142857143,0.7993936705116829,0.8142857142857143,0.7993517775995722,0.8142857142857143,0.7878957024136444,0.7833333333333333,0.9812500000000001,0.27148501747099224,1281,953,14,0.27299630001652986
