Classe,Precision,Recall,F1_score,Support
capc,1.0,1.0,1.0,100.0
har,1.0,1.0,1.0,100.0
normal,0.8620689655172413,1.0,0.9259259259259259,100.0
notch,1.0,1.0,1.0,100.0
sag,0.46153846153846156,0.42,0.4397905759162304,100.0
spike,1.0,1.0,1.0,100.0
swell,0.4731182795698925,0.44,0.45595854922279794,100.0
