id,classe,vizinho_mais_proximo,classe_vizinho,distancia,mesma_classe
spike_037,spike,spike_077,spike,11.636954871290943,True
spike_038,spike,spike_074,spike,8.655149636653052,True
spike_039,spike,spike_083,spike,10.472635813508589,True
spike_040,spike,spike_089,spike,8.462027255847094,True
spike_041,spike,spike_074,spike,8.881038650568982,True
spike_042,spike,spike_085,spike,10.58197809903788,True
spike_043,spike,spike_073,spike,8.570571429919198,True
spike_044,spike,spike_049,spike,12.788828380421899,True
spike_045,spike,spike_097,spike,9.32942781867397,True
spike_046,spike,spike_083,spike,8.760318577131715,True
spike_047,spike,spike_097,spike,9.426415673400783,True
spike_048,spike,spike_063,spike,11.549468730234405,True
spike_049,spike,spike_053,spike,12.084779430320799,True
spike_050,spike,spike_092,spike,8.898239285753869,True
spike_051,spike,spike_067,spike,9.295055620428867,True
spike_052,spike,spike_089,spike,9.08996605812034,True
spike_053,spike,spike_049,spike,12.084779430320799,True
spike_054,spike,spike_048,spike,13.944519198486473,True
spike_055,spike,spike_072,spike,8.595195272824824,True
spike_056,spike,spike_093,spike,12.591963845951968,True
spike_057,spike,spike_085,spike,14.107534008349957,True
spike_058,spike,spike_091,spike,9.705783489270994,True
spike_059,spike,spike_067,spike,8.668436355377711,True
spike_060,spike,spike_099,spike,11.629245034557623,True
spike_061,spike,spike_066,spike,11.91589327618677,True
spike_062,spike,spike_093,spike,8.118615529485744,True
spike_063,spike,spike_048,spike,11.549468730234405,True
spike_064,spike,spike_088,spike,11.486567528791365,True
spike_065,spike,spike_097,spike,10.434579065440321,True
spike_066,spike,spike_061,spike,11.91589327618677,True
spike_067,spike,spike_096,spike,7.06474217483938,True
spike_068,spike,spike_080,spike,3.8042206833304877,True
spike_069,spike,spike_091,spike,7.8166237784943,True
spike_070,spike,spike_078,spike,4.6572820469195015,True
spike_071,spike,spike_086,spike,3.9784705080083693,True
spike_072,spike,spike_055,spike,8.595195272824824,True
spike_073,spike,spike_090,spike,4.288100708789994,True
spike_074,spike,spike_099,spike,5.267037945331456,True
spike_075,spike,spike_090,spike,3.8532821429859445,True
spike_076,spike,spike_088,spike,4.5789620018573896,True
spike_077,spike,spike_037,spike,11.636954871290943,True
spike_078,spike,spike_070,spike,4.6572820469195015,True
spike_079,spike,spike_071,spike,6.9576557093415605,True
spike_080,spike,spike_068,spike,3.8042206833304877,True
spike_081,spike,spike_056,spike,14.32129960284686,True
spike_082,spike,spike_094,spike,9.347851545688066,True
spike_083,spike,spike_095,spike,7.135870908110119,True
spike_084,spike,spike_079,spike,7.06463836079775,True
spike_085,spike,spike_042,spike,10.58197809903788,True
spike_086,spike,spike_071,spike,3.9784705080083693,True
spike_087,spike,spike_073,spike,8.76423141243897,True
spike_088,spike,spike_076,spike,4.5789620018573896,True
spike_089,spike,spike_095,spike,7.263763403194572,True
spike_090,spike,spike_075,spike,3.8532821429859445,True
spike_091,spike,spike_069,spike,7.8166237784943,True
spike_092,spike,spike_098,spike,8.416300340963623,True
spike_093,spike,spike_062,spike,8.118615529485744,True
spike_094,spike,spike_082,spike,9.347851545688066,True
spike_095,spike,spike_083,spike,7.135870908110119,True
spike_096,spike,spike_067,spike,7.06474217483938,True
spike_097,spike,spike_045,spike,9.32942781867397,True
spike_098,spike,spike_092,spike,8.416300340963623,True
spike_099,spike,spike_074,spike,5.267037945331456,True
swell_000,swell,swell_084,swell,28.658332169290727,True
swell_001,swell,swell_099,swell,25.23455929632148,True
swell_002,swell,swell_058,swell,29.199552904555887,True
swell_003,swell,swell_087,swell,28.213390953650894,True
swell_004,swell,swell_079,swell,28.412500877936896,True
swell_005,swell,swell_096,swell,29.120080760704735,True
swell_006,swell,swell_072,swell,26.751740542267452,True
swell_007,swell,swell_041,swell,29.944478758350602,True
swell_008,swell,swell_091,swell,32.28379008740893,True
swell_009,swell,swell_087,swell,25.219719039535747,True
swell_010,swell,swell_072,swell,27.353858538726843,True
swell_011,swell,swell_099,swell,26.153856863056596,True
swell_012,swell,swell_084,swell,28.097635629291677,True
swell_013,swell,swell_088,swell,27.50718708432226,True
swell_014,swell,swell_091,swell,31.700170461480344,True
swell_015,swell,swell_052,swell,26.69419722641533,True
swell_016,swell,swell_072,swell,25.35843094495546,True
swell_017,swell,swell_087,swell,28.709061170534962,True
swell_018,swell,swell_097,swell,26.212732044060502,True
swell_019,swell,swell_088,swell,26.16978969262656,True
swell_020,swell,swell_099,swell,28.074459928896108,True
swell_021,swell,swell_067,swell,26.492779437918294,True
swell_022,swell,swell_044,swell,27.612054170679226,True
swell_023,swell,swell_074,swell,27.3066370219849,True
swell_024,swell,swell_097,swell,27.907620825732486,True
swell_025,swell,swell_082,swell,29.937749025443974,True
swell_026,swell,swell_098,swell,23.987373126739932,True
swell_027,swell,swell_069,swell,23.92747685911341,True
swell_028,swell,swell_082,swell,25.11820890539956,True
swell_029,swell,swell_044,swell,27.67297531861834,True
swell_030,swell,swell_039,swell,31.205055529383152,True
swell_031,swell,swell_089,swell,28.466903484475694,True
swell_032,swell,swell_044,swell,29.423493185240325,True
swell_033,swell,swell_074,swell,26.68503740478784,True
swell_034,swell,swell_097,swell,8.445400808922475,True
swell_035,swell,swell_067,swell,13.490775706501383,True
swell_036,swell,swell_068,swell,13.130607443263862,True
swell_037,swell,swell_071,swell,9.387987087829604,True
swell_038,swell,swell_098,swell,11.681028318989714,True
swell_039,swell,swell_083,swell,20.758561290562632,True
swell_040,swell,swell_044,swell,13.424920076847094,True
swell_041,swell,swell_087,swell,11.360958384819813,True
swell_042,swell,swell_074,swell,9.734963972280188,True
swell_043,swell,swell_080,swell,9.063479359811714,True
swell_044,swell,swell_040,swell,13.424920076847094,True
swell_045,swell,swell_048,swell,11.784479284499524,True
swell_046,swell,swell_093,swell,9.567954245676518,True
swell_047,swell,swell_096,swell,15.263753723125776,True
swell_048,swell,swell_045,swell,11.784479284499524,True
swell_049,swell,swell_074,swell,10.797546126705642,True
swell_050,swell,swell_093,swell,10.225902925726318,True
swell_051,swell,swell_076,swell,9.401408278568306,True
swell_052,swell,swell_079,swell,13.361910572818836,True
swell_053,swell,swell_098,swell,9.575854651624768,True
swell_054,swell,swell_088,swell,9.811339652931839,True
swell_055,swell,swell_078,swell,8.686880095445442,True
swell_056,swell,swell_079,swell,9.855944274305186,True
swell_057,swell,swell_049,swell,13.355295836298392,True
swell_058,swell,swell_089,swell,8.811611010269303,True
swell_059,swell,swell_099,swell,9.823575630230108,True
swell_060,swell,swell_098,swell,11.71031911141883,True
swell_061,swell,swell_089,swell,10.31395969963207,True
swell_062,swell,swell_089,swell,9.534678763155739,True
swell_063,swell,swell_080,swell,10.17682032788847,True
swell_064,swell,swell_097,swell,11.7921614993121,True
swell_065,swell,swell_067,swell,10.133648632361847,True
swell_066,swell,swell_087,swell,12.793849666118211,True
swell_067,swell,swell_080,swell,7.844990326899332,True
swell_068,swell,swell_096,swell,7.6597241921446875,True
swell_069,swell,swell_085,swell,5.020849805469748,True
swell_070,swell,swell_095,swell,8.857367696787254,True
swell_071,swell,swell_085,swell,5.99589903675726,True
swell_072,swell,swell_076,swell,6.774083284208349,True
swell_073,swell,swell_094,swell,8.503328281489221,True
swell_074,swell,swell_092,swell,7.366454923590277,True
swell_075,swell,swell_081,swell,17.369228912012595,True
swell_076,swell,swell_072,swell,6.774083284208349,True
swell_077,swell,swell_069,swell,8.551439459781534,True
swell_078,swell,swell_088,swell,6.416030380634492,True
swell_079,swell,swell_099,swell,7.324331406719052,True
swell_080,swell,swell_067,swell,7.844990326899332,True
swell_081,swell,swell_094,swell,12.349214833124996,True
swell_082,swell,swell_084,swell,15.854830884986777,True
swell_083,swell,swell_079,swell,8.39395487739051,True
swell_084,swell,swell_081,swell,13.94133569305995,True
swell_085,swell,swell_069,swell,5.020849805469748,True
swell_086,swell,swell_092,swell,9.373769589636696,True
swell_087,swell,swell_041,swell,11.360958384819813,True
swell_088,swell,swell_085,swell,5.690687979235716,True
swell_089,swell,swell_071,swell,6.979623112773758,True
swell_090,swell,swell_069,swell,5.503337288391621,True
swell_091,swell,swell_014,swell,31.700170461480344,True
swell_092,swell,swell_074,swell,7.366454923590277,True
swell_093,swell,swell_046,swell,9.567954245676518,True
swell_094,swell,swell_073,swell,8.503328281489221,True
swell_095,swell,swell_070,swell,8.857367696787254,True
swell_096,swell,swell_068,swell,7.6597241921446875,True
swell_097,swell,swell_034,swell,8.445400808922475,True
swell_098,swell,swell_080,swell,7.862653573067717,True
swell_099,swell,swell_079,swell,7.324331406719052,True
