0.0006162,0.0010129,0.00011341,0.0145,0.0010006,0.0035705,0.0031471,0.0057048,0.0022543,0.10872,1.0014,0.0059584,0.0020744,0.010522
0.00068822,0.00090432,0.00011388,0.014611,0.00086641,0.0035641,0.0032558,0.0057724,0.0023783,0.1087,1.0014,0.0059075,0.0021639,0.01055
0.00076034,0.00082535,0.00021766,0.014721,0.00075469,0.003592,0.0033431,0.0058326,0.0024935,0.10869,1.0013,0.0058631,0.0022516,0.010552
0.00073685,0.00084708,0.00017768,0.014681,0.00078808,0.0035727,0.0033176,0.0058121,0.0024533,0.10869,1.0014,0.0058784,0.0022201,0.01056
0.00074167,0.00084284,0.00018735,0.014691,0.00078152,0.0035792,0.0033225,0.005817,0.002463,0.10869,1.0014,0.0058746,0.0022278,0.010556
0.0012812,0.00094295,0.00095598,0.015448,0.00077932,0.0042393,0.0036747,0.0062017,0.0032324,0.10981,1.0011,0.0056123,0.0028959,0.010135
0.0022903,0.0018679,0.0020701,0.016501,0.0017445,0.0053362,0.0042618,0.0067636,0.0043518,0.10754,1.0008,0.0053921,0.0039553,0.0094002
0.0030996,0.0027052,0.00291,0.017244,0.0026009,0.0061956,0.0047479,0.0071938,0.0052014,0.10514,1.0006,0.0053679,0.0047954,0.008756
0.0035552,0.0031881,0.0033677,0.017613,0.0030806,0.0066608,0.0050099,0.0074357,0.0056722,0.10312,1.0005,0.0054087,0.0052744,0.0083468
0.003617,0.0032549,0.0034273,0.017655,0.0031437,0.0067191,0.0050404,0.0074691,0.0057357,0.1031,1.0005,0.0054169,0.0053411,0.0082845
0.0032345,0.0028301,0.0030906,0.017457,0.0027847,0.0064103,0.0049167,0.0072524,0.0053421,0.10313,1.0006,0.0053836,0.004908,0.0087123
0.002838,0.0023689,0.0028084,0.017332,0.0024894,0.0061775,0.0048921,0.0070051,0.0049262,0.10214,1.0007,0.0053942,0.0044135,0.0092063
0.0023844,0.0018015,0.0026412,0.017315,0.0023498,0.0060708,0.0050422,0.0066567,0.0044144,0.101,1.0007,0.0054936,0.0037181,0.0098816
0.0024977,0.0019478,0.0026379,0.017276,0.0023249,0.0060432,0.0049574,0.0067623,0.0045493,0.099977,1.0007,0.0054517,0.0039279,0.0096917
0.0025451,0.0020069,0.0026259,0.017242,0.0023,0.0060116,0.0049108,0.0068082,0.0046026,0.099151,1.0007,0.0054349,0.0040184,0.0096198
0.0024859,0.0019356,0.0026663,0.017314,0.0023639,0.0060866,0.0049946,0.0067418,0.0045368,0.099161,1.0007,0.0054613,0.0038885,0.0097048
0.0025153,0.0019689,0.0026289,0.017259,0.0023107,0.006027,0.0049358,0.0067814,0.0045688,0.099158,1.0007,0.0054442,0.0039652,0.0096677
0.0025065,0.00196,0.002646,0.017282,0.0023335,0.0060519,0.0049591,0.0067674,0.0045599,0.099157,1.0007,0.0054505,0.0039384,0.0096754
0.0024993,0.0019542,0.0026696,0.017311,0.0023629,0.0060829,0.0049879,0.0067515,0.0045531,0.099147,1.0007,0.0054581,0.0039086,0.0096776
0.0024963,0.0019531,0.002687,0.017331,0.0023832,0.0061035,0.0050076,0.0067412,0.0045507,0.099146,1.0007,0.0054634,0.0038898,0.0096748
0.0025001,0.0019499,0.002642,0.017283,0.0023346,0.0060565,0.0049595,0.0067655,0.0045516,0.099134,1.0007,0.0054505,0.0039333,0.0096913
0.0025007,0.0019449,0.0026128,0.017253,0.0023057,0.0060303,0.0049296,0.0067804,0.0045495,0.099132,1.0007,0.0054423,0.0039595,0.0097071
0.0025007,0.0019452,0.0026139,0.017254,0.0023067,0.0060311,0.0049306,0.0067799,0.0045497,0.099116,1.0007,0.0054426,0.0039586,0.0097064
0.0025005,0.0019443,0.0026115,0.017252,0.0023049,0.0060298,0.0049283,0.0067811,0.0045491,0.099096,1.0007,0.0054419,0.0039606,0.0097084
0.0025068,0.0019606,0.0026422,0.017275,0.002324,0.0060401,0.0049573,0.0067651,0.0045605,0.099089,1.0007,0.0054518,0.0039351,0.0096787
0.0024774,0.0018914,0.0025392,0.01721,0.0022789,0.0060315,0.0048615,0.0068229,0.0045097,0.099091,1.0007,0.0054158,0.0040239,0.0097925
0.0024537,0.0018371,0.0024747,0.017178,0.0022676,0.0060467,0.0048017,0.0068638,0.004468,0.099073,1.0008,0.0053906,0.004085,0.0098744
0.0024571,0.0018445,0.0024813,0.01718,0.0022666,0.0060424,0.0048079,0.0068588,0.0044739,0.099055,1.0008,0.0053938,0.0040778,0.0098646
0.0024611,0.0018523,0.0024864,0.01718,0.0022637,0.0060364,0.0048126,0.0068541,0.0044802,0.099054,1.0008,0.0053968,0.0040714,0.009856
0.0024816,0.0018893,0.0025025,0.017172,0.0022427,0.0060031,0.004828,0.0068332,0.0045109,0.099036,1.0007,0.0054111,0.0040446,0.009823
0.00245,0.0018356,0.0024899,0.017194,0.0022817,0.0060559,0.0048151,0.0068619,0.0044651,0.099039,1.0008,0.0053909,0.0040792,0.0098602
0.0023948,0.0017453,0.0024882,0.017245,0.0023596,0.0061481,0.004809,0.0069085,0.004386,0.099037,1.0008,0.0053582,0.0041328,0.009905
0.002436,0.0018086,0.0024781,0.0172,0.0022997,0.0060845,0.0048035,0.0068766,0.0044432,0.099002,1.0008,0.0053812,0.0040986,0.0098865
0.002379,0.001727,0.0025048,0.017268,0.0023806,0.0061615,0.0048225,0.0069174,0.0043669,0.098982,1.0008,0.005351,0.0041391,0.0098935
0.0023823,0.0017314,0.0025026,0.017264,0.0023762,0.0061578,0.0048208,0.0069152,0.0043712,0.098965,1.0008,0.0053527,0.004137,0.009894
0.0023279,0.0016639,0.0025475,0.017332,0.0024425,0.006205,0.0048566,0.0069499,0.0043027,0.098883,1.0008,0.0053262,0.0041664,0.0098719
0.0022715,0.0015997,0.0026013,0.017401,0.0025027,0.0062388,0.0049012,0.0069845,0.0042338,0.098886,1.0009,0.0052998,0.0041935,0.0098372
0.0018155,0.0011415,0.0031078,0.017954,0.0029473,0.0064122,0.0053384,0.0072661,0.0036706,0.099638,1.0011,0.0051081,0.004424,0.0094701
