0.0022376,0.0076402,0.0068122,0.0056809,0.0046677,0.0028588,0.0071658,0.0044999,0.005525,0.42734,1.3274,0.2719,0.0059617,0.0041457
0.0015066,0.0071061,0.0067563,0.0056647,0.0044982,0.002555,0.0068292,0.0049169,0.0047617,0.42737,1.3275,0.27273,0.0066679,0.0035871
0.00097695,0.0066328,0.0066682,0.0056084,0.0043176,0.0023223,0.0065159,0.0052693,0.0041068,0.42741,1.3277,0.27343,0.0072692,0.0030877
0.00074808,0.0061124,0.0065283,0.0054992,0.0040854,0.0021147,0.0061547,0.0056394,0.0034097,0.42746,1.3278,0.27417,0.0079017,0.0025397
0.00099872,0.0056605,0.0063698,0.005363,0.0038549,0.0019803,0.0058269,0.0059468,0.0028238,0.42751,1.3279,0.27478,0.0084258,0.002071
0.0014483,0.0051953,0.0061675,0.0051785,0.003586,0.0018822,0.005474,0.0062493,0.0022409,0.42754,1.3279,0.27539,0.008938,0.0016027
0.0018608,0.0048016,0.0059632,0.0049848,0.0033312,0.0018232,0.0051622,0.006494,0.0017651,0.42757,1.328,0.27588,0.009348,0.0012263
0.0022973,0.0043821,0.0057116,0.0047392,0.0030309,0.0017754,0.0048162,0.0067434,0.0012759,0.42761,1.328,0.27637,0.0097605,0.00086344
0.0026569,0.004026,0.0054708,0.0044996,0.0027533,0.0017399,0.0045113,0.0069464,0.00087508,0.42764,1.328,0.27678,0.010091,0.00062249
0.0029458,0.0037266,0.0052462,0.0042726,0.0025002,0.0016997,0.0042455,0.0071104,0.00054969,0.42766,1.328,0.27711,0.010353,0.00051415
0.0032799,0.0033652,0.0049515,0.0039719,0.0021742,0.0016386,0.0039144,0.0073015,0.00016943,0.42769,1.328,0.27749,0.010651,0.00055796
0.0034508,0.0031717,0.0047823,0.0037983,0.0019903,0.0015928,0.003732,0.007401,3.3612e-05,0.4277,1.328,0.27769,0.010802,0.0006389
0.0035559,0.0030463,0.0046659,0.003679,0.0018665,0.001546,0.0036106,0.0074641,0.00015579,0.4277,1.328,0.27781,0.010895,0.00069329
0.0036147,0.0029729,0.0045944,0.0036063,0.0017931,0.0015065,0.0035378,0.0075008,0.00022809,0.42769,1.328,0.27789,0.010947,0.00071983
