Metrica,Media,IC_95_inf,IC_95_sup
Accuracy,0.8376085714285714,0.8114285714285714,0.8642857142857143
Precision_macro,0.8282367237532308,0.8055253250261756,0.8516019924671041
Recall_macro,0.8372529816458796,0.8176427695839904,0.8585588828490693
F1_macro,0.8313869786096845,0.8098586355500768,0.8536177712971766
Balanced_accuracy,0.8372529816458796,0.8176427695839904,0.8585588828490693
MCC,0.8109135532932459,0.7800978126297347,0.8422744861832482
Cohen_Kappa,0.81033067635057,0.7794712951385488,0.8415922810209192
