D2_max,D3_energia,D4_entropia,D5_energia,D1_max,D2_energia,D1_desvio,A6_energia,D6_energia,D3_entropia,A6_max,D5_entropia,D4_max,A6_energia_relativa,classe,id
0.7252487941675914,9.111539858809099,3.591160619781566,0.9824197587318474,0.18581890659917585,8.809539532143038,0.022917222768780207,1280.5580833904187,20.180310603241733,4.930330687743856,7.854577144961683,4.558235331481594,1.0396228248355834,0.9659261599342234,capc,capc_000
0.6952143464794341,14.361931810572848,3.683959951911719,0.7739039333330152,0.1483413788318292,4.79068657102427,0.01890816640774449,1277.8730494137783,18.590244358928864,4.948914547061995,7.831330861619797,4.7208087495252995,0.5411501485098067,0.969128747864266,capc,capc_001
0.8998567385802155,12.722843992075624,4.067017924394131,1.0317757736584328,0.26732268112601165,7.80397702374369,0.023903138060614657,1283.737211058569,20.38099691811805,4.914127622185273,7.90422326713563,4.42487311154328,0.8933047180953773,0.9643592898720287,capc,capc_002
0.9598886143286138,10.467327833204187,1.70926928419227,0.7280330811615913,0.264979058860132,14.147423850281857,0.027609358652539964,1278.007673693523,20.572015365321086,4.480208676218513,7.858491391995286,4.427700500540922,0.9886989110676315,0.963555639669832,capc,capc_003
1.0094544327599535,16.02684387536157,4.026443099677234,0.9389760795819899,0.20898690980471432,7.306134136478434,0.020109137924389668,1266.5477334821414,18.1853093986673,5.077031189189771,7.781265742173278,4.779448619798561,0.609605938588326,0.9652727988815426,capc,capc_004
0.9702217089378101,17.042033296111384,4.363652586786371,1.0726809480394834,0.19148782016297253,6.028026585239408,0.020037992937683925,1282.1418357287046,18.738466633434616,5.145586536654467,7.995898946557142,4.195311837101559,0.5209747194596827,0.9661333090765997,capc,capc_005
0.9834953709298407,7.756161439975333,4.559815347922024,0.631689146583833,0.28278849494923647,16.339541361639125,0.03215963665824901,1277.1391271352604,18.549715540663477,4.452798922632756,7.932269043056781,4.404511393556632,0.22356327635677956,0.9660774913691367,capc,capc_006
0.5462425463430779,13.658796056030122,3.1349811296708445,0.7709859508993796,0.24477738722343284,6.897642686583204,0.02313479779208435,1279.7701725936051,20.918119715037683,4.87689031850523,7.855926501059127,4.396502871908435,1.111315066852254,0.9647924970441554,capc,capc_007
0.9729301475080386,7.9113500082091,3.5222954711912013,1.1760805897349516,0.20296052942573356,5.967797418402864,0.0192392324206221,1291.0302145261185,17.092759598101324,4.962468469948817,8.185434310110022,3.85289988036095,1.069796747368935,0.9711454116530075,capc,capc_008
0.8275093241402898,12.045491683221652,3.794915971713502,0.5973230391218196,0.26304790839440856,12.723907672343689,0.028733822630786696,1253.3794950762995,18.912680733932557,4.939285867390799,7.779748303142789,4.430071661793752,0.3871429286307596,0.9643087884432554,capc,capc_009
0.6002055115407443,14.380708772863809,4.101393764236738,0.7466446656207343,0.2507616957385627,6.224295397637436,0.01759766137754611,1265.1031662524783,20.29861097575402,4.8466524361237635,7.808842462626441,4.494892676076393,0.3963613760694663,0.967011312451233,capc,capc_010
