Metrica,Media,IC_95_inferior,IC_95_superior
Accuracy,0.8538185714285714,0.8271428571428572,0.8785714285714286
Precision_macro,0.8502822918785117,0.8298252325498886,0.8706263130737353
F1_macro,0.8510395869941203,0.8312099866551154,0.8707974374509124
MCC,0.829679337376716,0.7997800634100788,0.8586621750816951
Cohen_Kappa,0.8292580294253042,0.7984043593896114,0.8582223077593563
