Fold,Accuracy,Precision_macro,Recall_macro,F1_macro,MCC,Cohen_Kappa,ROC_AUC_macro,Log_Loss,Features_FFT,Features_apos_correlacao,Features_Fisher,Tempo_s
1,0.8357142857142857,0.8215367965367966,0.8357142857142857,0.8180952380952381,0.8143664815251632,0.8083333333333333,0.9721130952380952,0.2530864772263112,1281,948,14,1.8657279014587402
2,0.8357142857142857,0.8321995464852608,0.8357142857142857,0.8336695397029159,0.8084777172468424,0.8083333333333333,0.9753869047619048,0.2778801802984258,1281,955,14,1.9244756698608398
3,0.8714285714285714,0.8744897959183673,0.8714285714285713,0.8728178325739301,0.8500505997559754,0.85,0.9730357142857143,0.2921817740817842,1281,948,14,1.9579625129699707
4,0.8714285714285714,0.8677583286278938,0.8714285714285716,0.8673311184939092,0.8509629433967631,0.85,0.9778273809523811,0.27348723284649407,1281,954,14,1.8671183586120605
5,0.85,0.8465807375581812,0.85,0.8481640310908604,0.8250491115278584,0.8250000000000001,0.9773214285714287,0.2551266685883163,1281,953,14,2.067898988723755
