Fold,Accuracy,Precision_macro,Recall_macro,F1_macro,Features_FFT,Features_apos_correlacao,Features_Fisher
1,0.8428571428571429,0.8319727891156462,0.8428571428571427,0.8350966107063668,1281,948,14
2,0.8357142857142857,0.8254707680173519,0.8357142857142857,0.8211087562531026,1281,955,14
3,0.85,0.8465807375581812,0.85,0.8481640310908604,1281,948,14
4,0.8428571428571429,0.8309523809523809,0.8428571428571427,0.8341269841269842,1281,954,14
5,0.8142857142857143,0.7993936705116829,0.8142857142857143,0.7993517775995722,1281,953,14
