Fold,Accuracy,Precision_macro,Recall_macro,F1_macro,MCC,Cohen_Kappa,ROC_AUC_macro,Log_Loss,Features_Wavelet,Features_apos_correlacao,Features_Fisher,SVM_kernel,SVM_C,SVM_gamma,Tempo_s
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06736665861456267,56,36,14,rbf,10,scale,0.04293370002415031
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05212154226826772,56,36,14,rbf,10,scale,0.04344050004146993
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05452262233605561,56,36,14,rbf,10,scale,0.061184999998658895
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05164509089042997,56,36,14,rbf,10,scale,0.04336989996954799
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06593545292637908,56,36,14,rbf,10,scale,0.04695190000347793
