,precision,recall,f1-score,support
capc,1.0,1.0,1.0,100.0
har,1.0,1.0,1.0,100.0
normal,1.0,1.0,1.0,100.0
notch,1.0,1.0,1.0,100.0
sag,1.0,1.0,1.0,100.0
spike,1.0,1.0,1.0,100.0
swell,1.0,1.0,1.0,100.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,700.0
weighted avg,1.0,1.0,1.0,700.0
